fold,train_start,train_end,test_start,test_end,strategy_return,buy_hold_return,sharpe_ratio,max_drawdown,outperformed
1,2000-02-01,2010-02-12,2010-02-16,2011-02-14,0.14203148040300295,0.19195677712235226,0.4829029684754669,-0.5173339095034246,False
2,2001-01-31,2011-02-14,2011-02-15,2012-02-14,-0.5445325755693442,-0.38591137999983427,-1.5245567494696468,-0.6580099561558799,False
3,2002-02-06,2012-02-14,2012-02-15,2013-02-15,-0.241376789524672,-0.24856012942369665,-0.8489571135505017,-0.3119656753525937,True
4,2003-02-06,2013-02-15,2013-02-19,2014-02-18,-0.06425046503551934,0.402929738157634,-0.8297639000219851,-0.10818775422029615,False
5,2004-02-09,2014-02-18,2014-02-19,2015-02-18,-0.04433943009158403,0.21575512125789276,-0.39052759316799207,-0.12196341115819775,False
6,2005-02-08,2015-02-18,2015-02-19,2016-02-18,0.30771231891773443,0.29430800146506275,0.8993542676646074,-0.24734100247073287,True
7,2006-02-10,2016-02-18,2016-02-19,2017-02-17,0.07458470302578846,1.6196360794968552,0.36329575363417665,-0.15888009584417162,False
8,2007-02-14,2017-02-17,2017-02-21,2018-02-20,0.41983633111328955,1.1367411687989195,1.065201859694642,-0.18769166432008622,False
9,2008-02-14,2018-02-20,2018-02-21,2019-02-21,-0.509178500524139,-0.4568925899621903,-1.2363943911004305,-0.6102184262708276,False
10,2009-02-13,2019-02-21,2019-02-22,2020-02-21,0.3553243181260419,0.7717194826890474,0.9894671348141597,-0.33217706075673714,False
11,2010-02-16,2020-02-21,2020-02-24,2021-02-22,1.7033997441564712,0.6446113554666708,2.18312815677098,-0.3414302066881257,True
12,2011-02-15,2021-02-22,2021-02-23,2022-02-18,-0.20048102566825976,0.46828433724098795,-0.3778818039729398,-0.30137067425963737,False
13,2012-02-15,2022-02-18,2022-02-22,2023-02-22,-0.6013534915743908,-0.27659903649603346,-2.6636469851528384,-0.6021120654746919,False
14,2013-02-19,2023-02-22,2023-02-23,2024-02-23,0.18062321790332758,2.4186168449756145,0.7225221342842778,-0.22845595846614586,False
